Nombre,Tipo Fitness,Categoría Google,País,Ciudad,Zona Premium,Dirección,Teléfono,Sitio Web,Email,Rating,Nº Reseñas,Tamaño Estimado,Prioridad,Score Nexora (0-10),Tiene Web,Tiene Teléfono,Campaña,Mes Scraping,Google Maps URL
ONE MORE GYM,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"ONE MORE GYM, Cl. 47 # 87- 16, Medellín, La América, Medellín, Antioquia",+57 44128631,,,4.6,30,Pequeño-mediano,ALTA,9.9,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=ONE%20MORE%20GYM&query_place_id=ChIJIapQTB8pRI4RUOvKXgGwYtU
Ananda Pilates,Pilates,Centro de pilates,Colombia,Envigado,Envigado,"Cl. 23 Sur #42B - 60, Envigado, Antioquia",+57 333 2541106,,,4.6,29,Pequeño-mediano,ALTA,9.9,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Ananda%20Pilates&query_place_id=ChIJXxMrp2SDRo4RUarWpGAFNqk
Small Gym Training,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Cl. 40 #21-31, Bogotá, Bogotá",+57 311 8748423,,,4.6,23,Pequeño-mediano,ALTA,9.9,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Small%20Gym%20Training&query_place_id=ChIJYW4RjK-bP44RS0MkGCrETOA
Maximo/entrenador personal/personal trainer,Otro,Entrenador personal,México,Ciudad de México,Polanco,"Plaza Carso, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 1848 7065,,,4.9,17,Pequeño-mediano,ALTA,9.9,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Maximo%2Fentrenador%20personal%2Fpersonal%20trainer&query_place_id=ChIJ7fPYvwsD0oURkNw0M0RPRxE
FITNESS GYM LOMAS,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Av. Lomas de Sotelo 885, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 5580 0645,,,4.2,140,Mediano,ALTA,9.8,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=FITNESS%20GYM%20LOMAS&query_place_id=ChIJWa-oZT4C0oURS6OHFnuxJ70
Royalty Cheer Club | Robledo,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra 89 #68A-56, Medellín, Robledo, Medellín, Antioquia",+57 324 5565810,,,4.5,44,Pequeño-mediano,ALTA,9.8,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Royalty%20Cheer%20Club%20%7C%20Robledo&query_place_id=ChIJFa5fijcpRI4RJILapAPH5kk
Gimnasio Club,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"C. 50 #43-65, Medellín, La Candelaria, Medellín, Antioquia",+57 324 3037859,,,4.5,35,Pequeño-mediano,ALTA,9.8,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Club&query_place_id=ChIJx_bpMQUpRI4Rbr1AA2PlajU
X-GYM,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 47 #32-18, Medellín, Buenos Aires, Medellín, Antioquia",+57 2165606,,,4.5,33,Pequeño-mediano,ALTA,9.8,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=X-GYM&query_place_id=ChIJfTVSENMpRI4RS8Ot6F9yBo0
CURSOS DE VIGILANCIA MEDELLIN,Otro,Servicio de guardias de seguridad,Colombia,Medellín,Laureles,"Cl. 58 #49 - 68, Medellín, La Candelaria, Medellín, Antioquia",+57 313 3404425,https://www.facebook.com/share/1D5mhUcvW2/,,4.8,507,Grande (cadena),MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=CURSOS%20DE%20VIGILANCIA%20MEDELLIN&query_place_id=ChIJi4c4YPooRI4R8IBzxGnZS34
Pro-Life Espacio 360,Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Blvr. Chacabuco 788, Córdoba, Córdoba",+54 351 743-2263,http://www.pro-life360.com/,,4.8,299,Grande (cadena),MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Pro-Life%20Espacio%20360&query_place_id=ChIJn9utz4-iMpQRzrSVc3Rv0rU
Anytime Fitness Centro Internacional Bogotá,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Ak 7 #33 - 91, Bogotá, Cundinamarca",+57 311 8083615,https://www.anytimefitness.com.co/,,4.8,226,Grande (cadena),MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness%20Centro%20Internacional%20Bogot%C3%A1&query_place_id=ChIJz3ACIESZP44RBN75xUFNhQs
Action Black El Tesoro,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cra. 25a #1a Sur 45 local 47 70, Medellín, El Poblado, Medellín, Antioquia",+57 317 3683535,https://www.actionblack.co/memberships,,4.8,216,Grande (cadena),MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Action%20Black%20El%20Tesoro&query_place_id=ChIJ58Vk5UmDRo4RlJIeBhVgl4k
ACADESA Academia de Seguridad - Sede Medellín,Otro,Escuela,Colombia,Medellín,Laureles,"Cl. 55 #42-69, Medellín, La Candelaria, Medellín, Antioquia",+57 316 2249768,https://www.facebook.com/acadesaacademiadeseguridad/,,4.8,163,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=ACADESA%20Academia%20de%20Seguridad%20-%20Sede%20Medell%C3%ADn&query_place_id=ChIJLfQBpPcoRI4RroSs8AdHfxQ
Action Black City Plaza,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Calle 36 D Sur, Centro Comercial City Plaza #27a- 105 Local 261, Envigado, Antioquia",+57 316 0265648,https://www.actionblack.co/,,4.8,158,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Action%20Black%20City%20Plaza&query_place_id=ChIJ1wOctnmDRo4RFI1szpcsguw
Training Shoes,Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Dr. T. Achaval Rodriguez 49, Córdoba, Córdoba",+54 9 351 317-0405,http://www.trainingshoes.com.ar/,,4.8,135,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Training%20Shoes&query_place_id=ChIJ20wfSo-iMpQR61kBJ9lgpqA
Action Black Viva Envigado,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Cra. 48 #32B Sur-139, Envigado, Antioquia",+57 322 5137280,https://www.actionblack.co/,,4.8,133,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Action%20Black%20Viva%20Envigado&query_place_id=ChIJ36_zXWCDRo4Rw2u1stZs8LI
Naroa Pilates,Pilates,Centro de pilates,Argentina,Buenos Aires,Palermo,"Uriarte 1696, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 9 11 2796-6458,http://naroapilates.com.ar/,,4.8,117,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Naroa%20Pilates&query_place_id=ChIJAxYjZaTKvJURmMMfnkCF36I
Flying Tree Yoga,Yoga,Centro de yoga,Colombia,Medellín,Laureles,"Tv. 39A #7185, Medellín, Laureles, Medellín, Antioquia",+57 314 7396451,http://www.flyingtreeyoga.com/,,4.8,112,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Flying%20Tree%20Yoga&query_place_id=ChIJv6R2d6MpRI4RCUcjE6GARI8
Fit Corner - Fitness Center,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Manuel María Contreras 115-A, Cuauhtémoc, Ciudad de México, Cd. de México",+52 55 1625 3359,https://www.instagram.com/fitcornersr/,,4.8,99,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Fit%20Corner%20-%20Fitness%20Center&query_place_id=ChIJWca1r8v40YURulzlM94aX0s
Crossfit Deluxe,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"127 Carrera 32, Cl. 2 Sur, Medellín, El Poblado, Medellín, Antioquia",+57 320 7271230,https://www.instagram.com/crossfitdeluxe?igsh=aWp4NTR3aXpzdHg1,,4.8,91,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Crossfit%20Deluxe&query_place_id=ChIJJ-BWnYWCRo4R_1af4Ucdcuw
TRAIN Fitness - Nueva Cordoba,Gimnasio,Tienda de material deportivo,Argentina,Córdoba,Nueva Córdoba,"Ituzaingó 628, Córdoba, Córdoba",+54 351 460-2885,http://www.trainfitness.com.ar/,,4.8,84,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=TRAIN%20Fitness%20-%20Nueva%20Cordoba&query_place_id=ChIJtbjC6o-iMpQRQZdqAuQxtcg
KINÉ - Kinesiología Deportiva y Funcional,Otro,Kinesiólogo,Argentina,Buenos Aires,Palermo,"Av. Córdoba 5779 1 piso B, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 4040-2538,http://www.kinedyf.com.ar/,,4.8,82,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=KIN%C3%89%20-%20Kinesiolog%C3%ADa%20Deportiva%20y%20Funcional&query_place_id=ChIJUUbK7PK1vJURvLtQ4CSrVQQ
Sede La Playa - Comfenalco Antioquia,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 51 #45 - 57, Medellín, La Candelaria, Medellín, Antioquia",+57 604 5112133,https://www.comfenalcoantioquia.com.co/personas/sedes/centro-de-servicios-la-playa,,4.8,75,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Sede%20La%20Playa%20-%20Comfenalco%20Antioquia&query_place_id=ChIJ6UH5GMEpRI4RVK9ckpRfcYs
MAS Centro Deportivo,Artes Marciales,Escuela de artes marciales,Colombia,Bogotá,Chapinero,"Ac. 32 #13a-1 Piso 3, Bogotá, Bogotá",+57 313 2241649,https://m.facebook.com/profile.php/?id=100049531187007,,4.8,62,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=MAS%20Centro%20Deportivo&query_place_id=ChIJa8Pe6ISZP44RmOMHhmgUHsA
Powerfit Laureles,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cq. 2 #68 -128, Medellín, Laureles, Medellín, Antioquia",+57 350 2829582,http://www.powerfitco.com/,,4.8,61,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Powerfit%20Laureles&query_place_id=ChIJ8fkzgqApRI4RB-HX-hTp3os
STRONG MIND STRONG BODY,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl 77D #85-56, Medellín, Robledo, Medellín, Antioquia",+57 42642099,https://www.instagram.com/strong_body1?igsh=eDU2Mm1ndndkemxm,,4.8,58,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=STRONG%20MIND%20STRONG%20BODY&query_place_id=ChIJV87SATEpRI4ROZP0cXuGjMY
RUBEN’S SALUD & BIENESTAR,Pilates,Centro de pilates,Argentina,Córdoba,Nueva Córdoba,"Blvr. Chacabuco 723, Córdoba, Córdoba",+54 351 704-6428,http://www.rubensbienestar.com/,,4.8,55,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=RUBEN%E2%80%99S%20SALUD%20%26%20BIENESTAR&query_place_id=ChIJjROZ4OajMpQRIMHMOxus0PE
Sawa CrossBox - Boxeo - Baile,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 43 #90a-56, Medellín, La América, Medellín, Antioquia",+57 300 3909427,https://instagram.com/sawa.box,,4.8,51,Mediano,MEDIA,9.7,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Sawa%20CrossBox%20-%20Boxeo%20-%20Baile&query_place_id=ChIJq9ygnGUpRI4R_VKZj0xzyzg
Steel Color Fitness,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra. 80 #34b-76, Medellín, Laureles, Medellín, Antioquia",+57 324 6375744,,,4.8,16,Pequeño-mediano,ALTA,9.7,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Steel%20Color%20Fitness&query_place_id=ChIJp80JYAApRI4RN3YV0LjAUrI
Fitlab Colombia,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Cl 54 #4A-17, Bogotá, Bogotá",+57 312 4764993,,,4.8,16,Pequeño-mediano,ALTA,9.7,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Fitlab%20Colombia&query_place_id=ChIJqwZT_v6bP44RopSCMcb2d0g
La Rossa Centro Cultural,Otro,Centro cultural,Colombia,Bogotá,Chapinero,"Cra 20 #32a 36, Bogotá, Bogotá",+57 310 3318902,,,4.8,11,Pequeño,ALTA,9.7,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=La%20Rossa%20Centro%20Cultural&query_place_id=ChIJObqe3tuZP44R9ZxPe2fqRsc
Narziso Gym,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Av. Medrano 1900, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 9 11 2329-2334,https://www.narziso.com.ar/wp/,,4.7,679,Grande (cadena),MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Narziso%20Gym&query_place_id=ChIJaZ4wcYDKvJURvcUZzotiO3I
Bucor,Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"620, IYN, Obispo Trejo X5000IYN, Córdoba, Córdoba",+54 351 423-4895,http://www.bucornuevacordoba.com/,,4.7,663,Grande (cadena),MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bucor&query_place_id=ChIJYyh15oWiMpQRXUUEzTOMlMw
Yolo Hostel Medellín - Provenza,Otro,Hotel,Colombia,Medellín,El Poblado,"Cra. 32d #7a-77, Medellín, El Poblado, Medellín, Antioquia",+57 320 3578817,https://engine.lobbypms.com/yolo-hostel-medellin,,4.7,561,Grande (cadena),MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Yolo%20Hostel%20Medell%C3%ADn%20-%20Provenza&query_place_id=ChIJpZjcHigoRI4Rc64YbMmGhUA
Rango Hostel Boutique,Otro,Albergue,Colombia,Medellín,El Poblado,"Cl. 8 #42-25, Medellín, El Poblado, Medellín, Antioquia",+57 312 8606529,http://www.hostelrango.com/,,4.7,547,Grande (cadena),MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Rango%20Hostel%20Boutique&query_place_id=ChIJvbJUQiooRI4RjnBJFQT0IFs
Smart Fit San Martín,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Ak 7 #32-12 PISO 3, Bogotá, Cundinamarca",+57 319 7573066,,,4.1,500,Grande (cadena),ALTA,9.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Smart%20Fit%20San%20Mart%C3%ADn&query_place_id=ChIJLbS-bymZP44R1VDt7TyJENs
Galerías Tecamachalco,Otro,Centro comercial,México,Ciudad de México,Polanco,"Av de las Fuentes 49b, Naucalpan de Juárez, Estado de México",+52 55 8854 7344,,,4.1,335,Grande (cadena),ALTA,9.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Galer%C3%ADas%20Tecamachalco&query_place_id=ChIJWbegYocB0oURx456LGgEOBk
Forzza Gym,Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Blvr. Chacabuco 757, Córdoba, Córdoba",+54 351 761-1407,,,4.1,189,Mediano,ALTA,9.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Forzza%20Gym&query_place_id=ChIJQTmxMY6iMpQRHSjym8uLAXE
Centro de Meditación Kadampa Argentina,Otro,Templo budista,Argentina,Buenos Aires,Palermo,"Serrano 1316, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 6149-5976,http://www.meditarenargentina.org/,,4.7,188,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Centro%20de%20Meditaci%C3%B3n%20Kadampa%20Argentina&query_place_id=ChIJYYXVkIm1vJUR4hVZkz5gFBU
Animal X Templo Estadio,Gimnasio,Centro deportivo,Colombia,Medellín,Laureles,"C. 50 #67-73, Medellín, Laureles, Medellín, Antioquia",+57 604 5960672,http://www.instagram.com/animalxestadio,,4.7,173,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Animal%20X%20Templo%20Estadio&query_place_id=ChIJN5NHqqUpRI4R3cvcz3f4V-w
Casa Mamífera,Otro,Centro cultural,Colombia,Bogotá,Chapinero,"Cra. 17 #39-42, Bogotá, Bogotá",+57 304 3388679,https://m.facebook.com/pages/category/Cultural-Center/Mam%C3%ADfera-879285559083321/,,4.7,166,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Casa%20Mam%C3%ADfera&query_place_id=ChIJ-0W9HAibP44RYOMV_0MA6R8
Kasten Training,Gimnasio,Centro deportivo,Argentina,Buenos Aires,Palermo,"Godoy Cruz 2037, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 4774-3680,https://www.instagram.com/kasten.training/,,4.7,166,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Kasten%20Training&query_place_id=ChIJ3Sz0EI-1vJURfsAQsiv_zyo
GANGES - YOGA ESTUDIO - MEDELLIN,Yoga,Centro de yoga,Colombia,Medellín,Laureles,"Cl. 49B #74-22, Medellín, Laureles, Medellín, Antioquia",+57 302 1208118,https://gangesyogaestudio.com/,,4.7,157,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=GANGES%20-%20YOGA%20ESTUDIO%20-%20MEDELLIN&query_place_id=ChIJF2pJ7xEpRI4R_U89qg4FBXs
PowerClub Aguacatala | pwr:club Aguacatala,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Dg. 47, Medellín, El Poblado, Medellín, Antioquia",+57 312 2788442,http://powerclub.com.co/,,4.7,150,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=PowerClub%20Aguacatala%20%7C%20pwr%3Aclub%20Aguacatala&query_place_id=ChIJrwePTmGCRo4R75_irzYDnSE
Son de Timba,Baile / Danza,Academia de baile,Colombia,Envigado,Envigado,"#29Sur 105 local 301, Cra. 43A, Envigado, Antioquia",+57 316 2843114,http://www.sondetimba.com/,,4.7,148,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Son%20de%20Timba&query_place_id=ChIJGwn9r1qCRo4RjIHQIeeyI-I
Cycling Life,Spinning / Ciclo,Tienda de bicicletas,Colombia,Medellín,Laureles,"Av. 80 #53-42, Medellín, Laureles, Medellín, Antioquia",+57 323 2903511,https://www.instagram.com/cyclinglife2/,,4.7,140,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Cycling%20Life&query_place_id=ChIJG8vmEUwpRI4R2hi824YPaVg
Crossfit Bogotá,Gimnasio,Polideportivo,Colombia,Bogotá,Chapinero,"Kr 13 #86a-51, Bogotá, Cundinamarca",+57 315 4291484,https://crossfitbogota.com/,,4.7,114,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Crossfit%20Bogot%C3%A1&query_place_id=ChIJoVlbWIuaP44RDol6k7hAbJM
FLY CENTRO DEPORTIVO Pole Dance,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Cl. 46 Sur #46a 16, Envigado, Antioquia",+57 314 8318054,https://www.flycentrodeportivo.com/,,4.7,97,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=FLY%20CENTRO%20DEPORTIVO%20Pole%20Dance&query_place_id=ChIJReIn07WDRo4R4xlTI_wXT_4
Mood Yoga Hollywood,Yoga,Centro de yoga,Argentina,Buenos Aires,Palermo,"Av. Dorrego 1711 Timbre 11, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 3079-1711,http://www.moodyoga.com.ar/,,4.7,84,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Mood%20Yoga%20Hollywood&query_place_id=ChIJkdm9QBa1vJURYOjW6_DACr0
Powerclub Envigado,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Cl. 36d Sur #25b 58, Medellín, Envigado, Antioquia",+57 315 4572361,http://www.powerclub.com.co/,,4.7,79,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Powerclub%20Envigado&query_place_id=ChIJPRO7E1GDRo4RChx0nDUgXHE
Zona G Fitness,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Cl. 66 Bis #4-36, Bogotá, Cundinamarca",+57 350 5170799,https://zonagfitness.com/,,4.7,64,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Zona%20G%20Fitness&query_place_id=ChIJs0t_ZEGaP44R5EfEdr3XcMc
Fusion Gym,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Av. del Ferrocarril #n° 60-34, Medellín, La Candelaria, Medellín, Antioquia",+57 320 5606690,https://www.instagram.com/fusiongym51/?hl=es,,4.7,56,Mediano,MEDIA,9.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Fusion%20Gym&query_place_id=ChIJm6fWpaopRI4R1_44Z7LP2qk
Gimnasio 24FIT,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Av. 33 #65c - 48, Medellín, Laureles, Medellín, Antioquia",+57 301 2573135,,,4.4,36,Pequeño-mediano,ALTA,9.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%2024FIT&query_place_id=ChIJT6A92lQpRI4REwHnBwkIBHg
Academia_gladiador,Gimnasio,Centro deportivo,Colombia,Medellín,Laureles,"Cra. 39 #56-27, Medellín, La Candelaria, Medellín, Antioquia",+57 301 4416034,,,4.7,16,Pequeño-mediano,ALTA,9.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Academia_gladiador&query_place_id=ChIJGcf_jDgpRI4RjBhFa-JJd20
Bestrong Fisioterapia Y Ejercicio Funcional - Sede Castropol,Otro,Clínica de fisioterapia,Colombia,Medellín,El Poblado,"Tv. 12a #32-116, Medellín, El Poblado, Medellín, Antioquia",+57 604 3128070,,,4.7,15,Pequeño-mediano,ALTA,9.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bestrong%20Fisioterapia%20Y%20Ejercicio%20Funcional%20-%20Sede%20Castropol&query_place_id=ChIJR22gRC8oRI4RxptPjBGR3fw
Urban dance studio ZUMBA,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cra. 46 #14 - 13, Medellín, El Poblado, Medellín, Antioquia",+57 302 5460033,,,4.7,11,Pequeño,ALTA,9.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Urban%20dance%20studio%20ZUMBA&query_place_id=ChIJMdtdblopRI4RD7Pvqar3sIo
A&P TRAINING STUDIO,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 32E #76-85, Medellín, Belén, Medellín, Antioquia",+57 316 4513202,https://www.instagram.com/ayp.trainingstudio/,,5,48,Pequeño-mediano,MEDIA,9.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=A%26P%20TRAINING%20STUDIO&query_place_id=ChIJc-U3VwApRI4RcvSNP9Kr2dU
BLOOM PILATES STUDIO,Pilates,Centro de pilates,Colombia,Bogotá,Chapinero,"Cl. 44 #54-78 2 Piso, Bogotá, Bogotá",+57 312 8174876,https://www.instagram.com/bloom_pilates.studio,,5,48,Pequeño-mediano,MEDIA,9.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=BLOOM%20PILATES%20STUDIO&query_place_id=ChIJqWc30tmbP44RZ16abO6MXEU
Antu Malal Ashtanga Yoga,Yoga,Centro de yoga,Argentina,Buenos Aires,Palermo,"Thames 1343, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 9 11 2558-6654,https://www.instagram.com/antumalalashtangayoga/?hl=es-la,,5,48,Pequeño-mediano,MEDIA,9.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Antu%20Malal%20Ashtanga%20Yoga&query_place_id=ChIJEbP8yDvLvJUR6n1tHtVimN8
Pilates vida,Pilates,Centro de pilates,Colombia,Envigado,Envigado,"Cl. 40H Sur #41-42, Envigado, Antioquia",+57 304 3886002,https://sites.google.com/pilates-vidaenv.com/pilatesvida/p%C3%A1gina-principal,,5,47,Pequeño-mediano,MEDIA,9.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Pilates%20vida&query_place_id=ChIJj3s8kWiDRo4RvcZIdzTLo6I
"Centro de Meditación de Self-Realization Fellowship - Bogotá, Colombia",Otro,Asociación u organización,Colombia,Bogotá,Chapinero,"Cra 3a #4648, Bogotá, Bogotá",+57 312 4202518,https://www.yogananda-bogota.org/,,5,46,Pequeño-mediano,MEDIA,9.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Centro%20de%20Meditaci%C3%B3n%20de%20Self-Realization%20Fellowship%20-%20Bogot%C3%A1%2C%20Colombia&query_place_id=ChIJLRnqSSSaP44R14D8OZEYK6o
